Date,Close,Dif,Volume,Empresa,Symbol,target,moment,Action,coef_3,coef_7,coef_10,coef_15,coef_20,coef_30
2004-10-15,0.0027267077176290374,0.0018011549122697837,1.5703590111074366,Apple,AAPL,0,hold,0,-0.058807631118450304,0.030241027404402786,0.059419142278323935,0.07847623699388465,0.09623163342464339,0.12326663279909104
2004-10-18,0.0029161812990013626,-0.047623469260628555,2.00707312548776,Apple,AAPL,0,hold,0,0.01770798703300065,0.004064487947698964,0.046179476845098294,0.07152061536395775,0.09024921930311508,0.12034276657073632
2004-10-19,0.0028883920655830516,0.028241292246297463,0.980427303675951,Apple,AAPL,0,hold,0,-0.01039651732505652,-0.01733225284706851,0.028864203272649696,0.0618106059458946,0.08236532291496244,0.11617898478034219
2004-10-20,0.0028926029869952474,0.008511968842341962,0.47352750726184034,Apple,AAPL,0,hold,0,0.03151680853604194,-0.014645692569361669,0.014179731664501542,0.053954855314711746,0.07738527180057118,0.11234493778190076
2004-10-21,0.00293217823047816,0.005055236670197892,0.7809286836468808,Apple,AAPL,0,hold,0,0.025343488364759567,0.009091956663144257,0.008667065202754242,0.048172774697805947,0.07321083146529404,0.10936581695598768
2004-10-22,0.0028875469671681476,0.017055423873596893,0.15932114560154353,Apple,AAPL,0,hold,0,0.018521168787269483,0.03907760383658581,0.01004130076354666,0.0440372784922986,0.06974610362571637,0.10649888633008806
2004-10-25,0.0028993376133525793,0.007292153169267163,-0.07348251253312411,Apple,AAPL,0,hold,0,0.03476589415473595,0.05009442776927828,0.02189886852669106,0.0430070038644775,0.06788274793146919,0.10463859574356717
2004-10-26,0.0029347065715431262,0.0038341981212028846,0.4458598154329912,Apple,AAPL,0,hold,0,0.023881243320101084,0.06167212232648699,0.04142050133071547,0.04285977593001786,0.066452326266939,0.10326100721721403
2004-10-27,0.0031309124612128683,-0.021995413281503805,1.9883877015116325,Apple,AAPL,0,hold,0,0.019332625668620877,0.058413425979822055,0.061162162025957346,0.041641607801037185,0.06493951467947465,0.10233086927626138
2004-10-28,0.003290070123858998,-0.030537728173642167,1.1407528550760566,Apple,AAPL,0,hold,0,-0.011695282747657234,0.04555183142019668,0.059505412406838994,0.040380085357534845,0.061904082719750855,0.09982429513550341
2004-10-29,0.0033077539406514383,0.003021035611920487,1.0016070010686449,Apple,AAPL,0,hold,0,-0.004548112104061617,0.028330883254865373,0.054047860998738706,0.039800547288105094,0.058295436114037834,0.09628260245987263
2004-11-01,0.003311965193215051,0.01542787341222399,0.46565540734597183,Apple,AAPL,0,hold,0,0.022744360415005015,0.016613051660526762,0.044349800965941,0.04323958856092242,0.05596960443906286,0.09289217332224534
2004-11-02,0.0034003852706315034,-0.007962118747289372,0.7950436759868721,Apple,AAPL,0,hold,0,0.025343424480577418,0.018253147619460525,0.03944180667388889,0.0508140857312844,0.0545489930103316,0.08990499904583213
2004-11-03,0.0035528083069203014,-0.004708037774433822,2.0158823801555177,Apple,AAPL,0,hold,0,0.009098251923836002,0.024047298779629047,0.03498923417205684,0.05743857899774535,0.05201287994913472,0.08760150082384725
2004-11-04,0.003480382842920731,0.026208313489762866,1.306456232975464,Apple,AAPL,0,hold,0,-0.0032488994921860623,0.029744036729441772,0.02774112288572621,0.054275478802969325,0.05030935859658797,0.0847026693703164
2004-11-05,0.0035031216860860223,0.017258206379211664,2.0181315515600513,Apple,AAPL,0,hold,0,0.040127821328849185,0.03832232685877753,0.031062916556621953,0.05427158495041659,0.0521764124155167,0.08306928202795073
2004-11-08,0.003474488678858473,0.01217378879728008,0.2722266665560603,Apple,AAPL,0,hold,0,0.021769168374867344,0.04012427182441086,0.038515056681450326,0.05172348246335466,0.05621552054069729,0.0818514469498228
2004-11-09,0.0034467030881057425,0.018071439150213725,0.1405203795021067,Apple,AAPL,0,hold,0,0.031679585432096376,0.04763425412914076,0.05101647746372249,0.052238602207127435,0.0629838620929167,0.08124126723675341
2004-11-10,0.0035056503583024055,-0.001860668972947737,0.22525358683829558,Apple,AAPL,0,hold,0,0.0315161058100386,0.06081943638142846,0.0604396323295091,0.05504806565863759,0.07030076622247573,0.08111378423671949
2004-11-11,0.003551964201959647,0.007292151841362625,-0.03575122044552733,Apple,AAPL,0,hold,0,0.014784008017140669,0.06575034899377866,0.06318799537025145,0.057464678920377515,0.07216902727645622,0.08117836456820601
2004-11-12,0.003568803251488599,0.004444786612349076,-0.06561041261725561,Apple,AAPL,0,hold,0,0.01722118956520833,0.056740509601770614,0.06539462325992149,0.06177628474917326,0.0739905558553051,0.0816466071455924
