Date,Close,Mean,Dif,Volume,Empresa,Symbol,target,moment,Action
2009-06-19,10.463031768798828,10.372039794921875,-0.04682445526123047,171002566,Google,GOOG,0,hold,0
2009-06-22,10.145721435546877,10.307199478149416,0.23910331726073863,165594371,Google,GOOG,0,hold,0
2009-06-23,10.104126930236816,10.237626711527506,0.024160385131835938,116418737,Google,GOOG,0,hold,0
2009-06-24,10.194040298461914,10.147962888081869,-0.013698577880857599,98680498,Google,GOOG,0,hold,0
2009-06-25,10.355435371398926,10.217867533365885,-0.2184314727783221,122236461,Google,GOOG,1,sell,1
2009-06-26,10.593294143676758,10.3809232711792,-0.289914131164549,130756276,Google,GOOG,1,sell,1
2009-06-29,10.56390380859375,10.50421110788981,0.046326637268066406,87097243,Google,GOOG,1,sell,1
2009-06-30,10.500391960144045,10.55252997080485,0.060025215148924005,104144903,Google,GOOG,0,hold,0
2009-07-01,10.43563461303711,10.499976793924967,0.129763603210451,92778458,Google,GOOG,0,hold,0
2009-07-02,10.174115180969238,10.370047251383463,0.17235374450683594,101081463,Google,GOOG,0,hold,0
2009-07-06,10.20201015472412,10.270586649576822,-0.07745933532714666,90843231,Google,GOOG,2,buy,1
2009-07-07,9.878722190856934,10.084949175516764,0.2891654968261701,130860666,Google,GOOG,2,buy,1
2009-07-08,10.024675369262695,10.035135904947916,-0.06201744079589844,138163938,Google,GOOG,2,buy,1
2009-07-09,10.22143840789795,10.041611989339193,-0.1063528060913086,131515110,Google,GOOG,0,hold,0
2009-07-10,10.32131290435791,10.189142227172852,-0.12004947662353338,117502785,Google,GOOG,0,hold,0
2009-07-13,10.567889213562012,10.370213508605957,-0.20249080657958984,162434571,Google,GOOG,0,hold,0
2009-07-14,10.577603340148926,10.488935152689615,-0.02440929412841797,116266167,Google,GOOG,0,hold,0
2009-07-15,10.913344383239746,10.68627897898356,-0.21195507049560547,151646285,Google,GOOG,0,hold,0
2009-07-16,11.023680686950684,10.838209470113119,-0.1474475860595721,263162715,Google,GOOG,0,hold,0
2009-07-17,10.716082572937012,10.884369214375814,0.06849479675292791,275191634,Google,GOOG,0,hold,0
2009-07-20,10.714091300964355,10.817951520284018,-0.007223129272459161,126612804,Google,GOOG,0,hold,0
2009-07-21,10.657552719116213,10.695908864339193,0.07571601867675604,119173022,Google,GOOG,0,hold,0
2009-07-22,10.652321815490724,10.674655278523764,0.00772190093993963,103855823,Google,GOOG,0,hold,0
2009-07-23,10.892671585083008,10.734182039896647,-0.21569156646728338,139649486,Google,GOOG,0,hold,0
2009-07-24,11.126296043395996,10.890429814656576,-0.2717323303222656,145619780,Google,GOOG,0,hold,0
2009-07-27,11.07847499847412,11.032480875651041,0.0308837890625,100551484,Google,GOOG,0,hold,0
2009-07-28,10.95518684387207,11.053319295247396,0.02864360809326172,101679697,Google,GOOG,0,hold,0
2009-07-29,10.865274429321287,10.966312090555826,0.02465724945068537,79777911,Google,GOOG,0,hold,0
2009-07-30,11.09939670562744,10.973285992940264,-0.075467109680174,128423566,Google,GOOG,0,hold,0
2009-07-31,11.034889221191406,10.99985345204671,0.17260265350341797,114844859,Google,GOOG,0,hold,0
2009-08-03,11.263032913208008,11.132439613342285,-0.08642578125,104000363,Google,GOOG,0,hold,0
2009-08-04,11.300890922546388,11.199604352315268,-0.10859203338623225,95950302,Google,GOOG,0,hold,0
2009-08-05,11.236383438110352,11.266769091288248,0.1210470199584961,94031136,Google,GOOG,0,hold,0
2009-08-06,11.21695613861084,11.251410166422525,0.0981321334838885,84752487,Google,GOOG,0,hold,0
2009-08-07,11.38482666015625,11.279388745625814,-0.03561687469482422,102105287,Google,GOOG,0,hold,0
2009-08-10,11.372623443603516,11.324802080790201,-0.036613464355466974,69941178,Google,GOOG,0,hold,0
2009-08-11,11.306121826171877,11.35452397664388,-0.006724357604980469,68756755,Google,GOOG,0,hold,0
2009-08-12,11.4216890335083,11.366811434427897,-0.07895374298095703,94007046,Google,GOOG,0,hold,0
2009-08-13,11.513842582702637,11.413884480794271,-0.0032377243041992188,80107140,Google,GOOG,0,hold,0
2009-08-14,11.457056045532228,11.46419588724772,0.0692405700683576,67255147,Google,GOOG,0,hold,0
2009-08-17,11.080717086791992,11.350538571675619,0.16463279724121094,105200846,Google,GOOG,0,hold,0
2009-08-18,11.09043025970459,11.20940113067627,-0.004483222961425781,94396500,Google,GOOG,2,buy,1
2009-08-19,11.0578031539917,11.076316833496094,-0.09912872314453125,90538092,Google,GOOG,2,buy,1
2009-08-20,11.467267990112305,11.205167134602865,-0.20946502685546875,160555554,Google,GOOG,2,buy,1
2009-08-21,11.587567329406738,11.370879491170248,0.007472038269041192,142953825,Google,GOOG,0,hold,0
2009-08-24,11.674490928649902,11.576442082722982,-0.034371376037597656,98503838,Google,GOOG,1,sell,1
2009-08-25,11.74024486541748,11.667434374491373,-0.05579090118408203,93990986,Google,GOOG,1,sell,1
